"","iso3c.x","aglandpercent","countrycode","AvgAgGrowth","iso3c.y","co2emissions","AvgCO2Growth"
"1","ARB",36.6108495095988,"ARB",0.0333600747966177,"ARB",1895700.3207852,4.29693469052321
"2","WLD",37.4307396653348,"WLD",-0.0305307704991068,"WLD",36138285,2.45568983392157
"3","EAP",48.8136992569236,"EAP",0.324254740353487,"EAP",11688627.3270674,6.53023843147083
"4","ECA",28.17853686509,"ECA",0.046331633504084,"ECA",3029861.39407698,0.670483999405584
"5","SAS",56.8062877842561,"SAS",0.0228240489285429,"SAS",2516434.746,6.55854178169375
"6","AND",39.9574482694585,"AND",-1.44536103801664,"AND",462.042,-1.89484466870385
"7","ARE",5.4745140494645,"ARE",-2.86431856520655,"ARE",211369.547,6.73059484288384
"8","AFG",58.0675795729559,"AFG",6.95794474142065e-09,"AFG",9809.225,29.6380874177038
"9","ATG",20.4545454545455,"ATG",0,"ATG",531.715,2.37149323348189
"10","ALB",43.1277354442292,"ALB",0.554010661328688,"ALB",5716.853,3.46864773983352
"11","ARM",58.8970863655824,"ARM",-0.460791562020364,"ARM",5529.836,5.01219099810334
"12","AGO",47.4773401780701,"AGO",0.275185260179812,"AGO",34763.16,6.47301392650025
"13","ARG",54.3357121193851,"ARG",0.530180379957949,"ARG",204024.546,2.69959738479298
"14","ASM",24.5000004768372,"ASM",-0.191666492157486,"ASM",NA,NA
"15","AUT",32.3566761396415,"AUT",-0.618216135151368,"AUT",58712.337,-1.97385837140365
"16","AUS",48.2419442487149,"AUS",-1.52732940338438,"AUS",361261.839,0.563997948596282
"17","ABW",11.1111111111111,"ABW",0,"ABW",872.746,-8.50478485953252
"18","AZE",57.7355751784202,"AZE",0.031704138754456,"AZE",37487.741,2.21045022061918
"19","CEB",46.7157078426767,"CEB",-0.544967071089074,"CEB",636385.848,-1.38304992786936
"20","BIH",43.14453125,"BIH",0.23138246042503,"BIH",22233.021,3.77231653978473
"21","BRB",23.2558139534884,"BRB",-4.532992007992,"BRB",1272.449,0.131586887535747
"22","BGD",70.6323266569678,"BGD",-0.0917782338478915,"BGD",73189.653,6.9068430078472
"23","BEL",44.6103054434653,"BEL",-0.210469802737104,"BEL",93350.819,-1.5925341931619
"24","BFA",44.2251461988304,"BFA",1.22882320193221,"BFA",2849.259,10.3727646011062
"25","BGR",46.2509211495947,"BGR",-0.318557724865721,"BGR",42416.189,-0.598337495272134
"26","BHR",11.0539846325564,"BHR",-0.42486569670891,"BHR",31338.182,6.81620022944134
"27","BDI",79.1666666666667,"BDI",1.34415818804562,"BDI",440.04,9.76615019480966
"28","BEN",33.2564739269244,"BEN",1.20060794815404,"BEN",6318.241,10.8561898201689
"29","BMU",5.55555567819886,"BMU",-2.49999981373547,"BMU",575.719,1.59142262854259
"30","BRN",2.73244774545167,"BRN",3.56861529131278,"BRN",9108.828,8.46276356837038
"31","BOL",34.7872242222838,"BOL",0.153817913266109,"BOL",20410.522,6.79501373340594
"32","BRA",33.9245334488295,"BRA",0.3895862974628,"BRA",529808.16,4.71463127364533
"33","BHS",1.3986013986014,"BHS",0.871794871794872,"BHS",2416.553,4.4051163659327
"34","BTN",13.6063342409668,"BTN",-1.03302598755157,"BTN",1001.091,13.5964683216534
"35","BWA",45.6330167970197,"BWA",0.0230907106479838,"BWA",7033.306,7.14256204216264
"36","BLR",42.0354891269939,"BLR",-0.488833265485663,"BLR",63497.772,0.914985104632344
"37","BLZ",7.01446733888645,"BLZ",0.517483481664915,"BLZ",495.045,3.29530840525048
"38","CAN",6.89183824507808,"CAN",-0.507865542785207,"CAN",537193.498,-0.24546780889796
"39","COD",11.5568690589092,"COD",0.237962956912967,"COD",4671.758,15.6298956837864
"40","CAF",8.15435487495586,"CAF",-0.2484191674343,"CAF",300.694,2.53716956737776
"41","COG",31.1185944363104,"COG",0.0727830965791209,"COG",3094.948,13.0194887709688
"42","CHE",38.3634460279084,"CHE",-0.200872082054185,"CHE",35305.876,-1.12703800599695
"43","CIV",64.7798742138365,"CIV",0.147783251231527,"CIV",11045.004,4.55935656022763
"44","CHL",21.1716498322513,"CHL",-0.0365893137059495,"CHL",82562.505,3.40638876161317
"45","CMR",20.6257536333058,"CMR",0.575343881659278,"CMR",7003.97,7.13716846036099
"46","CHN",56.2123131033498,"CHN",0.264364223540008,"CHN",10291926.878,7.06857415219802
"47","COL",40.2574146575034,"COL",0.591475827538499,"COL",84091.644,4.4606933284224
"48","CRI",34.4594594594595,"CRI",-0.307779504529465,"CRI",7759.372,1.25066777037622
"49","CUB",59.8606056076956,"CUB",-0.395559379977425,"CUB",34836.5,3.79362697343291
"50","CPV",19.6029776674938,"CPV",0.437150568729501,"CPV",491.378,4.83254663362098
"51","CUW",NA,"CUW",NA,"CUW",5881.868,-0.140904886192869
"52","CYP",12.1569266050925,"CYP",-2.71746388957879,"CYP",6061.551,-1.70212240069037
"53","CZE",45.1825951825952,"CZE",-1.82205952288278,"CZE",96475.103,-1.82094467056585
"54","DEU",47.6786123196703,"DEU",-0.189466157519101,"DEU",719883.438,-1.18345386307683
"55","DJI",73.4253666954271,"DJI",0.00411404098427914,"DJI",722.399,6.31020572469931
"56","DNK",62.0147654203382,"DNK",-0.287668522298836,"DNK",33498.045,-3.62814672389487
"57","DMA",33.3333333333333,"DMA",1.32411067193676,"DMA",135.679,2.47491426364516
"58","DOM",48.6855723452701,"DOM",-0.270481875617184,"DOM",21539.958,1.69507810321793
"59","DZA",17.3655391515237,"DZA",0.0434928437231024,"DZA",145400.217,5.32473947335842
"60","ECU",22.2096956031567,"ECU",-2.58356761953667,"ECU",43919.659,4.31364863246172
"61","EST",23.0733839429492,"EST",0.860608803595174,"EST",19519.441,1.87072179174879
"62","EGY",3.75083632480913,"EGY",0.568009830077225,"EGY",201894.019,3.06681187345038
"63","ERI",75.1683168316832,"ERI",0.026413100898045,"ERI",696.73,0.374242999043192
"64","ESP",52.5772474403069,"ESP",-0.860347669273559,"ESP",233976.602,-3.50853201432448
"65","ETH",36.259,"ETH",0.588253578372324,"ETH",11598.721,8.43680880081016
"66","EUU",42.8216586342656,"EUU",-0.55082318927635,"EUU",3241844.353,-2.17210904747933
"67","FCS",31.0666297419104,"FCS",0.137933731250633,"FCS",422731.856061273,2.93653126068741
"68","FIN",7.48576881313547,"FIN",-0.105307770312079,"FIN",47300.633,-2.73035430382498
"69","FJI",23.2621784345922,"FJI",-0.0700955660699885,"FJI",1169.773,0.389223140597336
"70","FSM",31.4285714285714,"FSM",-0.222222222222219,"FSM",150.347,2.10384070952832
"71","FRO",2.1489970407132,"FRO",0,"FRO",597.721,-1.85763626708679
"72","FRA",52.4475441661716,"FRA",-0.204678756761115,"FRA",303275.568,-2.27627238010292
"73","GAB",20.0256141576435,"GAB",0,"GAB",5192.472,1.2529061272166
"74","GBR",71.7148781414045,"GBR",-0.27347898181818,"GBR",419820.162,-2.34656687897799
"75","GRD",23.5294117647059,"GRD",1.42857142857146,"GRD",242.022,2.04735137816413
"76","GEO",34.4510001439056,"GEO",-0.496590078148959,"GEO",8987.817,8.501643096101
"77","GHA",68.9988573437637,"GHA",0.259347960060093,"GHA",14466.315,8.2096760605313
"78","GIB",NA,"GIB",NA,"GIB",528.048,3.26900055032326
"79","GRL",0.592301134389943,"GRL",0.0623604516180124,"GRL",506.046,-0.912312943224329
"80","GMB",59.7826086956522,"GMB",2.11183154410153,"GMB",513.38,5.97484523038799
"81","GIN",59.0102555754517,"GIN",0.259183526824677,"GIN",2449.556,2.64808188695172
"82","GNQ",10.1247771836007,"GNQ",-0.984808616415513,"GNQ",5346.486,0.87657313751912
"83","GRC",47.6027928626843,"GRC",-2.37554554603809,"GRC",67318.786,-3.50019870330623
"84","GTM",35.9835759611795,"GTM",-1.05144331411654,"GTM",18327.666,5.2179832182203
"85","GUM",33.3333333333333,"GUM",-1.02631578947368,"GUM",NA,NA
"86","GNB",57.9658605974395,"GNB",0.12422360248447,"GNB",271.358,3.03849080472337
"87","GUY",8.63601727203454,"GUY",0.130614358289238,"GUY",2009.516,2.55844381247607
"88","HKG",4.76190476190476,"HKG",-1.75668448204554,"HKG",46222.535,1.11074363296775
"89","HND",28.9123246045223,"HND",0.235461631582745,"HND",9471.861,2.94470294107064
"90","HRV",27.5911365260901,"HRV",2.45542111849283,"HRV",16842.531,-2.72233262459155
"91","HTI",66.7634252539913,"HTI",1.0360569714069,"HTI",2860.26,3.95161246814299
"92","HUN",58.3563459626643,"HUN",-1.01884779156969,"HUN",42086.159,-2.97732141415499
"93","IDN",31.4644203646561,"IDN",1.02660375632,"IDN",464176.194,4.31178235878256
"94","IRL",64.5376687472783,"IRL",0.469021336414452,"IRL",34066.43,-2.40020836735923
"95","ISR",24.5841035120148,"ISR",0.465707985174375,"ISR",64601.539,1.1402264948723
"96","IMN",69.8245600650184,"IMN",-0.545771023944172,"IMN",NA,NA
"97","IND",60.4471964455686,"IND",-0.010217931887585,"IND",2238377.137,6.92134728228468
"98","IRQ",21.4222529591242,"IRQ",0.513863614863467,"IRQ",168443.645,6.24271265239221
"99","IRN",28.2141015250866,"IRN",-0.400014197012696,"IRN",649480.705,3.82435524465676
"100","ISL",18.6733167082294,"ISL",-0.047921092811534,"ISL",1983.847,-1.13440791390212
"101","ITA",43.2345141769226,"ITA",-1.07917161468251,"ITA",320411.459,-3.77369546177834
"102","CHI",46.4646472917287,"CHI",0.974469346777413,"CHI",NA,NA
"103","JAM",40.9972299168975,"JAM",-0.498874265372994,"JAM",7422.008,-2.94808408396027
"104","JOR",12.0067578388995,"JOR",0.438438279704275,"JOR",26450.071,3.3590884391687
"105","JPN",12.2640991880623,"JPN",-0.438212772698317,"JPN",1214048.358,-0.339416919418579
"106","KEN",48.5469304564782,"KEN",0.211724960925831,"KEN",14286.632,6.73782558726728
"107","KGZ",54.9582898852972,"KGZ",-0.178127443573329,"KGZ",9607.54,5.92764698304533
"108","KHM",30.9030138227963,"KHM",0.186741363211941,"KHM",6684.941,10.7325844655069
"109","KIR",41.9753086419753,"KIR",0,"KIR",62.339,6.21372280969804
"110","COM",71.466950907041,"COM",0,"COM",154.014,2.68665541578427
"111","KNA",23.0769230769231,"KNA",1.85359244254074,"KNA",231.021,0.916196407597275
"112","PRK",21.8420396976995,"PRK",0.118665409762371,"PRK",40527.684,-4.57820860059631
"113","KOR",17.4460706405791,"KOR",-0.937822149636798,"KOR",587156.373,2.06372586226958
"114","KWT",8.41750841750842,"KWT",0.00314317910070778,"KWT",95408.006,4.29550103990891
"115","CYM",11.2500001986822,"CYM",0,"CYM",542.716,1.82919340663614
"116","KAZ",80.376338111642,"KAZ",0.243121310587378,"KAZ",248314.572,4.00427166712897
"117","LAO",10.2642980935875,"LAO",1.5859694653751,"LAO",1954.511,5.7606750395198
"118","LBN",64.3206256109482,"LBN",-0.303729473610491,"LBN",24070.188,4.30266073553684
"119","LCA",17.377049805688,"LCA",0.499049916816552,"LCA",407.037,1.38431442555154
"120","LIE",32.2499990463257,"LIE",-2.69247835426352,"LIE",44.004,-4.34727737248746
"121","LKA",43.6931908786477,"LKA",1.22271736609891,"LKA",18393.672,4.33277673437382
"122","LBR",28.031561461794,"LBR",0.321899704788113,"LBR",935.085,5.81102202856167
"123","LSO",77.635046113307,"LSO",0.23901736605976,"LSO",2467.891,2.21158678239043
"124","LTU",47.1552602126949,"LTU",0.594024306267037,"LTU",12838.167,-0.047960710698016
"125","LUX",53.711935914593,"LUX",0.118687352631883,"LUX",9658.878,-1.47649843111627
"126","LVA",31.0550016082342,"LVA",0.412523953254506,"LVA",6974.634,-0.396658393523564
"127","LBY",8.72387101174171,"LBY",-0.0227500223901442,"LBY",56996.181,2.68538861802693
"128","MAR",68.5447008738517,"MAR",0.214027661233299,"MAR",59863.775,3.36973839998486
"129","MCO",NA,"MCO",NA,"MCO",NA,NA
"130","MDA",74.2170872605655,"MDA",-0.170194972233225,"MDA",4932.115,0.900276106226429
"131","MNE",18.9591078066914,"MNE",-4.30024227827455,"MNE",2211.201,2.80960354184508
"132","MAF",NA,"MAF",NA,"MAF",NA,NA
"133","MDG",71.1842557579924,"MDG",0.122759720851101,"MDG",3076.613,5.82410893385766
"134","MHL",63.8888888888889,"MHL",-1.18589743589743,"MHL",102.676,1.62326892109501
"135",NA,50.1586042823156,NA,0.692942280489957,NA,7510.016,2754.95242864994
"136",NA,50.1586042823156,NA,0.692942280489957,NA,822819.034074243,2754.95242864994
"137",NA,50.1586042823156,NA,0.692942280489957,NA,1912531.50401786,2754.95242864994
"138","MLI",33.7660528278383,"MLI",0.182445884303724,"MLI",1411.795,5.97558204859851
"139","MMR",19.538188277087,"MMR",0.971798487926358,"MMR",21631.633,8.31365243201959
"140","MNG",71.4888405500914,"MNG",-0.281311898290285,"MNG",20839.561,13.1454025064482
"141","MAC",NA,"MAC",NA,"MAC",1283.45,-0.799395884352412
"142","MNP",6.52173913043478,"MNP",0,"MNP",NA,NA
"143","MRT",38.5281847288251,"MRT",0.0126265315740166,"MRT",2709.913,5.9274436193449
"144","MLT",32.4375003576278,"MLT",1.26584761138258,"MLT",2346.88,-0.720997379927571
"145","MUS",42.3645320197044,"MUS",-0.880903459260173,"MUS",4228.051,3.23169140042027
"146","MDV",26.3333336512248,"MDV",-0.124999880790712,"MDV",1334.788,7.64279982863864
"147","MWI",61.4128128977514,"MWI",0.980268382689608,"MWI",1276.116,3.69487474292168
"148","MEX",54.6495537436662,"MEX",-0.0312278030134456,"MEX",480270.657,0.893118732536273
"149","MYS",26.2577994217014,"MYS",2.01746979374251,"MYS",242821.406,4.14702193388762
"150","MOZ",63.5189094330985,"MOZ",0.161818083280402,"MOZ",8426.766,19.0791173296516
"151","NAM",47.1389182426605,"NAM",-0.00283351127908524,"NAM",3755.008,8.54745875532891
"152","NCL",10.0787749175691,"NCL",-1.94763764342949,"NCL",4290.39,5.68761577490236
"153","NER",36.063787795058,"NER",0.612246153380991,"NER",2126.86,10.9148434546395
"154","NGA",77.7364208307256,"NGA",-0.328092721078257,"NGA",96280.752,-0.349522446507944
"155","NIC",42.0890809373442,"NIC",-0.260083066664599,"NIC",4862.442,1.02935863861833
"156","NLD",53.3095874146631,"NLD",-0.638117407437023,"NLD",167303.208,-0.948862966231637
"157","NOR",2.6940783293922,"NOR",-0.503582100319526,"NOR",47626.996,2.12169779881093
"158","NPL",28.7478200209278,"NPL",-0.153840075624278,"NPL",8030.73,12.4441268341667
"159","NRU",20.0000002980232,"NRU",0,"NRU",47.671,-2.51188354129531
"160","NZL",40.450419657438,"NZL",-0.649724105930764,"NZL",34664.151,0.0948013001835356
"161","OED",34.3115595017242,"OED",-0.676344550392825,"OED",12151110.546,-0.787871145315144
"162","OMN",4.63974151857835,"OMN",-0.184745517681393,"OMN",61169.227,8.58218271385712
"163","PAN",30.3605057842346,"PAN",0.146810158621281,"PAN",8800.8,4.73111655117408
"164","PER",18.50546875,"PER",0.124165826034446,"PER",61744.946,7.53937796440097
"165","PYF",12.431693989071,"PYF",0.113607990012464,"PYF",803.073,0.559700661565801
"166","PNG",2.62774367354149,"PNG",1.44230769230767,"PNG",6318.241,4.71968997515367
"167","PHL",41.7211657779119,"PHL",0.72182228857989,"PHL",105653.604,3.78275661797318
"168","PAK",47.7947281029473,"PAK",0.200012822794386,"PAK",166298.45,2.40907488714927
"169","POL",46.9447075345374,"POL",-1.00137467306776,"POL",285739.974,-0.552362122369489
"170","PRI",22.2886129592156,"PRI",0.149064615158612,"PRI",NA,NA
"171","PSE",49.3222613667332,"PSE",-1.53215262424171,"PSE",NA,4.31215644771149
"172","PRT",39.4529403982533,"PRT",-0.39527468942414,"PRT",45052.762,-3.22524439442191
"173","PLW",10.8695652173913,"PLW",0,"PLW",260.357,0.306558182464171
"174","PRY",55.0843191542915,"PRY",0.78822053821052,"PRY",5702.185,3.48149102112832
"175","QAT",5.770887166236,"QAT",0.231271483551429,"QAT",107853.804,10.2022550495674
"176","ROU",58.7665159944367,"ROU",-0.362261142720446,"ROU",70003.03,-2.94858756268317
"177","SRB",39.3322661788246,"SRB",-0.271194355930368,"SRB",37667.424,-4.123847687289
"178","RUS",13.2944703414022,"RUS",0.104718760283646,"RUS",1705345.684,0.723040695129234
"179","RWA",73.4373713486777,"RWA",0.0514180919164206,"RWA",839.743,4.85463463215176
"180","SST",34.2399472675236,"SST",-0.00995725949477241,"SST",282558.272432656,4.84210743836746
"181","PSS",13.4376947034,"PSS",0.0921584737043806,"PSS",2478.892,0.512516601351346
"182","CSS",6.26800049495238,"CSS",0.0865324981559957,"CSS",63637.118,2.0820135698382
"183","OSS",40.470779023541,"OSS",-0.0148196581474457,"OSS",216360.821490992,5.96373483720428
"184","SAU",80.7646683940475,"SAU",-0.00314785015062768,"SAU",601046.969,4.56874537453889
"185","SLB",3.85852090032154,"SLB",1.41903742005664,"SLB",201.685,2.29034617468104
"186","SYC",3.36956511373104,"SYC",-7.97413812268836,"SYC",495.045,-2.40222211006908
"187","SDN",NA,"SDN",NA,"SDN",15364.73,3.18502287117646
"188","SWE",7.44273403550122,"SWE",-0.34867432348584,"SWE",43420.947,-1.9127278889179
"189","SGP",0.930888592414402,"SGP",-1.32329992531606,"SGP",56372.791,12.4403669775652
"190","SVN",30.6563397595901,"SVN",2.54633011104176,"SVN",12812.498,-1.89787287043049
"191","SVK",39.2262895174709,"SVK",-0.270559463715085,"SVK",30678.122,-2.1882410713824
"192","SLE",54.7104461069548,"SLE",-0.11977391358317,"SLE",1309.119,8.38138811074073
"193","SMR",16.6666666666667,"SMR",0,"SMR",NA,NA
"194","SEN",46.0603542305095,"SEN",0.49416716959148,"SEN",8855.805,7.3443059568854
"195","SOM",70.3366595466573,"SOM",-0.00961270373706267,"SOM",608.722,0.251700397350252
"196","SUR",0.557692307692308,"SUR",2.02254909814999,"SUR",1991.181,3.11805130650599
"197","SSD",NA,"SSD",NA,"SSD",1496.136,6.05328311887575
"198","STP",50.7291674613953,"STP",-0.0597728303009349,"STP",113.677,4.5637451115712
"199","SLV",76.4478764478765,"SLV",0.731361803981212,"SLV",6285.238,-0.0589293795071323
"200","SXM",NA,"SXM",NA,"SXM",733.4,2.59784075573549
"201","SYR",75.8100528236127,"SYR",0.0316714095914044,"SYR",30703.791,-4.15892209847269
"202","SWZ",71.046511627907,"SWZ",-0.01633986928104,"SWZ",1202.776,1.77915349231071
"203","TLA",37.5709513866105,"TLA",0.279182793899725,"TLA",1844357.987,2.83918155406064
"204","TMN",22.8435293179803,"TMN",-0.0132901391009855,"TMN",1415553.675,3.3205507511079
"205","TEA",49.0185364805414,"TEA",0.324980891775075,"TEA",11648078.82,6.61875423511973
"206","TSA",56.8062877842561,"TSA",0.0228240489285429,"TSA",2516434.746,6.55854178169375
"207","TSS",43.6857065727579,"TSS",0.202700891451764,"TSS",822819.034074243,1.80345520580629
"208","TEC",28.427221579688,"TEC",0.0256481195929689,"TEC",3331985.0026978,0.532805267989987
"209","TCA",1.05263157894737,"TCA",0,"TCA",205.352,7.39847718419147
"210","TCD",39.6561308767471,"TCD",0.09198782724711,"TCD",729.733,6.95383377158277
"211","TGO",70.2334988049274,"TGO",1.56109011559531,"TGO",2621.905,8.1880137688955
"212","THA",43.2774178394566,"THA",1.1714115392614,"THA",316212.744,2.69632718522229
"213","TJK",34.1379061892067,"TJK",0.0908114714630985,"TJK",5188.805,8.86929622728728
"214","TLS",25.5548083389375,"TLS",-0.117934232188314,"TLS",469.376,11.0834380580043
"215","TKM",72.0064690485817,"TKM",-0.25090712120906,"TKM",68422.553,4.1556738667602
"216","TUN",64.836508753862,"TUN",0.274604755993157,"TUN",28829.954,2.68597881677824
"217","TON",45.8333333333333,"TON",0.635080645161272,"TON",121.011,1.36589917930296
"218","TUR",49.7992541870769,"TUR",-0.543803162252445,"TUR",345981.45,4.46376332939182
"219","TTO",10.5263157894737,"TTO",0,"TTO",46273.873,3.46381644007046
"220","TUV",59.9999984105427,"TUV",0.588234716633172,"TUV",11.001,3.33333333333333
"221","TZA",44.7617972454279,"TZA",1.16169975179273,"TZA",11562.051,10.643461846464
"222","UKR",71.665314436638,"UKR",0.0571651977174184,"UKR",227298.995,-3.6210547583559
"223","UGA",71.8880909634949,"UGA",0.65266790837681,"UGA",5229.142,11.9241185499929
"224","USA",44.3690679995015,"USA",-0.0641764907537329,"USA",5254279.285,-0.8720616021419
"225","URY",82.5597052301165,"URY",-0.160095541935185,"URY",6747.28,3.25246142991711
"226","UZB",62.9290079924777,"UZB",0.0113836459890598,"UZB",105213.564,-1.57569486740079
"227","PRE",41.3248069349079,"PRE",0.229367347168774,"PRE",445746.13685026,3.85986373036146
"228","EAR",41.4662964363704,"EAR",0.101937414289485,"EAR",7079254.54580901,3.92245502816769
"229","LTE",35.8418618332074,"LTE",0.223804535913354,"LTE",15089660.8763876,5.18329401962744
"230","PST",33.7322472730208,"PST",-0.719054851130483,"PST",11313886.775,-1.0219467168966
"231","VCT",25.6410256410256,"VCT",0,"VCT",209.019,1.14048162509511
"232","VEN",24.4884076866391,"VEN",0.021088629206688,"VEN",185220.17,2.24418683311045
"233","VGB",46.6666666666667,"VGB",0,"VGB",179.683,3.75891291984198
"234","VIR",11.4285714285714,"VIR",0,"VIR",NA,NA
"235","VNM",39.2750024188087,"VNM",1.97069980674697,"VNM",166910.839,6.45989666844703
"236","VUT",15.3404429860541,"VUT",0.108108108108072,"VUT",154.014,14.5739674417372
"237","WSM",12.3674911660777,"WSM",-1.35141044201617,"WSM",198.018,2.8396152126621
"238","EMU",43.0360947702086,"EMU",-0.543626993299085,"EMU",2191542.213,-2.27050938061272
"239","HIC",35.1152466120545,"HIC",-0.63261269627007,"HIC",12939717.411544,-0.501834932797156
"240","HPC",38.6046071875528,"HPC",0.298789134414674,"HPC",186998.665,6.67211026116223
"241","IBD",36.79736744332,"IBD",0.196995156184355,"IBD",20783364.225,4.69559839028922
"242","IDA",42.5355815293176,"IDA",0.159306953477886,"IDA",792614.144680386,2.29539602699049
"243","IDB",52.7638181015178,"IDB",-0.117145295894183,"IDB",439412.943,0.904987016006159
"244","IDX",39.1503007086072,"IDX",0.285848748352099,"IDX",350958.197735555,4.50468912806695
"245","LAC",37.9560470414579,"LAC",0.288893522889253,"LAC",1734047.293,2.81616051823031
"246","XKX",NA,"XKX",NA,"XKX",NA,NA
"247","LDC",38.7586664817285,"LDC",0.308205565636427,"LDC",293488.705753082,6.69276709049293
"248","LIC",39.7688070831845,"LIC",0.311523225133413,"LIC",196277.449685544,0.606759005562262
"249","LMC",45.8474598247091,"LMC",0.123377164965491,"LMC",4184823.35182507,4.2703760287601
"250","LMY",38.3133772998291,"LMY",0.19169582169519,"LMY",21213767.2744052,4.66989394739408
"251","MIC",38.0604252405263,"MIC",0.170170608158386,"MIC",21011743.3172035,4.71777960337173
"252","MNA",22.8619762967392,"MNA",-0.0163381593907389,"MNA",1418044.77855581,3.31988621788977
"253","UMC",35.3749694879832,"UMC",0.191238050192048,"UMC",16827139.2638577,4.8443199008957
"254","NAC",25.6857744077835,"NAC",-0.130836368330896,"NAC",5792048.502,-0.817228559437817
"255","INX",NA,"INX",NA,"INX",NA,NA
"256","YEM",44.597230903271,"YEM",-0.0338158411095401,"YEM",22698.73,2.72158997837318
"257","EAS",47.7837798916902,"EAS",-0.340062470774868,"EAS",14272114.6815449,5.09707728137302
"258","ECS",29.3409863866213,"ECS",-0.0841119106814778,"ECS",6245991.8570744,-0.881508420281589
"259","ZAF",79.830020855831,"ZAF",-0.00455432304620296,"ZAF",489771.854,0.957125068047113
"260","SSA",43.6865796313919,"SSA",0.202728271791034,"SSA",822325.721662229,1.80813465185414
"261",NA,43.6857065727579,NA,0.692942280489957,NA,7510.016,2754.95242864994
"262",NA,43.6857065727579,NA,0.692942280489957,NA,822819.034074243,2754.95242864994
"263",NA,43.6857065727579,NA,0.692942280489957,NA,1912531.50401786,2754.95242864994
"264",NA,37.6588415927841,NA,0.692942280489957,NA,7510.016,2754.95242864994
"265",NA,37.6588415927841,NA,0.692942280489957,NA,822819.034074243,2754.95242864994
"266",NA,37.6588415927841,NA,0.692942280489957,NA,1912531.50401786,2754.95242864994
"267","ZMB",32.0639233780384,"ZMB",0.339719782289544,"ZMB",4503.076,8.20660266025825
"268","MEA",33.3020235406555,"MEA",-0.0137193247867574,"MEA",2593273.8930243,4.07190647142339
"269","IBT",38.269935041405,"IBT",0.186147723363759,"IBT",21583850.6637834,4.59514049672011
"270","ZWE",41.8766963939511,"ZWE",-0.0580582385718342,"ZWE",12020.426,5.19074175993414
